id,center_id,meal_id,YearRank,Years,Quarters,week,base_price,checkout_price,emailer_for_promotion,homepage_featured,num_orders
1109378,101,1525,1,Year 1,Q1,1,281.33,248.38,0,0,136
1117183,101,1962,1,Year 1,Q1,1,611.13,583.03,1,1,364
1119136,101,1109,1,Year 1,Q1,1,283.27,245.44,1,0,1255
1124148,101,1207,1,Year 1,Q1,1,381.27,323.98,0,1,1269
1130768,101,1247,1,Year 1,Q1,1,447.23,389.03,0,0,14
1142101,101,1445,1,Year 1,Q1,1,656.75,654.75,0,0,41
1153494,101,2322,1,Year 1,Q1,1,376.39,324.04,0,0,1311
1170135,101,1062,1,Year 1,Q1,1,182.42,182.42,0,0,379
1173889,101,1438,1,Year 1,Q1,1,270.63,242.5,0,0,53
1185719,101,1971,1,Year 1,Q1,1,290.03,259.96,1,1,744
1203771,101,1754,1,Year 1,Q1,1,281.30,283.3,0,0,337
1205449,101,1770,1,Year 1,Q1,1,485.03,338.53,0,0,14
1208241,101,2306,1,Year 1,Q1,1,243.50,242.5,0,1,54
1228596,101,1558,1,Year 1,Q1,1,612.13,588.85,1,1,324
1247022,101,2577,1,Year 1,Q1,1,281.33,281.33,0,0,53
1247857,101,1847,1,Year 1,Q1,1,271.63,242.5,0,0,14
1249670,101,1778,1,Year 1,Q1,1,183.36,184.36,0,0,283
1276512,101,2760,1,Year 1,Q1,1,241.53,241.53,0,0,26
1283708,101,2290,1,Year 1,Q1,1,311.43,309.43,0,0,364
1284394,101,1878,1,Year 1,Q1,1,282.33,281.33,0,0,55
1345877,101,1885,1,Year 1,Q1,1,132.89,134.89,0,0,447
1352777,101,2581,1,Year 1,Q1,1,611.13,584,1,1,729
1376177,101,1993,1,Year 1,Q1,1,155.23,134.86,0,0,593
1412973,101,2139,1,Year 1,Q1,1,437.53,340.5,0,0,40
1418622,101,2539,1,Year 1,Q1,1,132.89,133.89,0,0,121
1422644,101,2126,1,Year 1,Q1,1,484.03,485,0,1,27
1445500,101,2704,1,Year 1,Q1,1,281.33,242.5,0,0,94
1465794,101,1216,1,Year 1,Q1,1,454.93,454.93,0,0,28
1489324,101,2826,1,Year 1,Q1,1,309.43,310.43,0,0,487
1489839,101,1248,1,Year 1,Q1,1,251.23,251.23,0,0,41
1011419,102,2631,1,Year 1,Q1,1,253.23,94.09,0,0,40
1109553,102,1230,1,Year 1,Q1,1,324.04,323.04,0,0,283
1120608,102,2322,1,Year 1,Q1,1,312.37,313.37,0,0,283
1124666,102,1754,1,Year 1,Q1,1,261.93,261.93,0,0,136
1140097,102,1878,1,Year 1,Q1,1,242.53,241.53,0,0,81
1147241,102,1962,1,Year 1,Q1,1,612.07,582.03,1,0,82
1149112,102,2707,1,Year 1,Q1,1,220.25,192.12,0,0,215
1158818,102,1727,1,Year 1,Q1,1,399.70,397.7,0,0,204
1169127,102,1543,1,Year 1,Q1,1,504.43,503.43,0,0,15
1170566,102,1885,1,Year 1,Q1,1,119.34,121.31,0,1,581
1183819,102,2126,1,Year 1,Q1,1,438.50,438.5,0,0,40
1189125,102,2306,1,Year 1,Q1,1,244.50,244.5,0,0,27
1189534,102,1971,1,Year 1,Q1,1,290.03,259.99,1,0,555
1223804,102,2492,1,Year 1,Q1,1,445.23,445.23,0,0,15
1254306,102,2139,1,Year 1,Q1,1,348.23,349.23,0,0,15
1260647,102,2867,1,Year 1,Q1,1,660.63,658.63,0,0,27
1284042,102,1445,1,Year 1,Q1,1,658.63,659.63,0,0,26
1298148,102,2444,1,Year 1,Q1,1,659.63,659.63,0,0,27
1302869,102,2539,1,Year 1,Q1,1,121.25,121.25,0,0,96
1307330,102,2640,1,Year 1,Q1,1,241.53,241.53,0,0,53
1318264,102,1062,1,Year 1,Q1,1,172.69,173.69,0,0,324
1346243,102,2581,1,Year 1,Q1,1,611.13,584.94,1,0,177
1374200,102,1216,1,Year 1,Q1,1,465.63,388.03,0,0,41
1393227,102,2290,1,Year 1,Q1,1,296.82,297.82,0,0,325
1400276,102,1902,1,Year 1,Q1,1,485.03,486.03,0,0,14
1410773,102,1993,1,Year 1,Q1,1,119.37,119.34,0,1,690
1414586,102,2826,1,Year 1,Q1,1,328.86,328.86,0,0,122
1421112,102,1248,1,Year 1,Q1,1,244.50,94.15,0,0,55
1453245,102,1778,1,Year 1,Q1,1,170.75,171.75,0,0,203
1484028,102,1558,1,Year 1,Q1,1,612.07,584.94,1,0,162
1490335,102,1207,1,Year 1,Q1,1,324.98,323.98,0,0,230
1491861,102,2760,1,Year 1,Q1,1,231.83,233.83,0,0,26
1493431,102,1109,1,Year 1,Q1,1,310.43,277.45,0,0,258
1004422,104,2631,1,Year 1,Q1,1,247.35,249.35,0,0,94
1019347,104,2126,1,Year 1,Q1,1,534.53,486,0,1,27
1029316,104,1770,1,Year 1,Q1,1,485.03,338.53,0,0,69
1047622,104,2539,1,Year 1,Q1,1,134.86,133.86,0,0,231
1058871,104,1207,1,Year 1,Q1,1,388.06,323.04,0,0,513
1068047,104,2707,1,Year 1,Q1,1,192.12,190.12,0,0,1014
1076346,104,1778,1,Year 1,Q1,1,182.39,181.39,0,0,676
1093025,104,1993,1,Year 1,Q1,1,133.89,133.86,0,1,1214
1096888,104,1216,1,Year 1,Q1,1,456.93,455.93,0,0,68
1105086,104,2139,1,Year 1,Q1,1,435.53,339.5,0,0,67
1117921,104,2640,1,Year 1,Q1,1,281.33,282.33,0,0,94
1140046,104,1847,1,Year 1,Q1,1,243.50,243.5,0,0,13
1162474,104,1878,1,Year 1,Q1,1,281.33,281.33,0,0,42
1272630,104,2704,1,Year 1,Q1,1,282.33,243.5,0,0,107
1283353,104,1525,1,Year 1,Q1,1,282.33,242.5,0,0,230
1285822,104,1109,1,Year 1,Q1,1,285.18,223.16,1,0,1309
1290131,104,1971,1,Year 1,Q1,1,329.86,259.96,1,0,716
1300430,104,1445,1,Year 1,Q1,1,627.62,626.62,0,0,95
1304706,104,2867,1,Year 1,Q1,1,637.35,637.35,0,0,68
1309698,104,1247,1,Year 1,Q1,1,447.23,388.03,0,0,41
1310670,104,1230,1,Year 1,Q1,1,389.03,321.13,0,0,566
1317020,104,1803,1,Year 1,Q1,1,164.93,163.93,0,0,527
1317222,104,1885,1,Year 1,Q1,1,134.86,133.86,0,1,904
1330135,104,2304,1,Year 1,Q1,1,486.03,484.03,0,0,54
1338592,104,2322,1,Year 1,Q1,1,386.12,322.04,0,0,567
1358675,104,1558,1,Year 1,Q1,1,612.13,581.03,1,0,109
1362807,104,1198,1,Year 1,Q1,1,165.93,164.93,0,0,474
1364371,104,2492,1,Year 1,Q1,1,387.03,387.03,0,0,54
1372188,104,2577,1,Year 1,Q1,1,282.33,280.33,0,0,54
1381233,104,1754,1,Year 1,Q1,1,291.03,290.03,0,0,555
1389202,104,2826,1,Year 1,Q1,1,339.53,340.53,0,0,420
1392677,104,1062,1,Year 1,Q1,1,180.42,180.42,0,0,769
1397594,104,2290,1,Year 1,Q1,1,311.43,283.24,0,1,649
1404600,104,1902,1,Year 1,Q1,1,445.23,388.03,0,0,67
1410068,104,1311,1,Year 1,Q1,1,166.90,164.9,0,0,418
1420270,104,2581,1,Year 1,Q1,1,610.13,582.03,1,1,203
1422074,104,1248,1,Year 1,Q1,1,247.41,247.41,0,0,54
1446445,104,1543,1,Year 1,Q1,1,486.03,484.03,0,0,80
1449102,104,2306,1,Year 1,Q1,1,339.53,244.5,0,0,40
1455761,104,1727,1,Year 1,Q1,1,435.53,417.16,0,1,717
1459318,104,2444,1,Year 1,Q1,1,628.62,628.62,0,0,94
1477847,104,1962,1,Year 1,Q1,1,610.13,582.03,1,1,432
1480359,104,2760,1,Year 1,Q1,1,243.53,243.53,0,0,94
1001211,106,2322,1,Year 1,Q1,1,383.15,317.19,0,1,528
1003386,106,1962,1,Year 1,Q1,1,610.13,584.97,1,1,297
1014447,106,2539,1,Year 1,Q1,1,112.52,112.52,0,0,177
1017124,106,1770,1,Year 1,Q1,1,485.03,485.03,0,0,40
1026471,106,2290,1,Year 1,Q1,1,309.43,311.43,0,0,526
1026549,106,2581,1,Year 1,Q1,1,612.13,583.94,1,1,325
1052778,106,2640,1,Year 1,Q1,1,242.53,241.53,0,0,176
1054523,106,2760,1,Year 1,Q1,1,231.83,232.83,0,0,67
1077213,106,1109,1,Year 1,Q1,1,306.58,306.58,0,0,203
1081508,106,1754,1,Year 1,Q1,1,261.93,261.93,0,0,391
1093023,106,1993,1,Year 1,Q1,1,109.67,116.46,0,1,1014
1102251,106,1445,1,Year 1,Q1,1,658.63,658.63,0,0,109
1113131,106,2577,1,Year 1,Q1,1,241.53,241.53,0,0,68
1125724,106,1230,1,Year 1,Q1,1,382.24,320.16,0,1,514
1126919,106,2492,1,Year 1,Q1,1,445.23,445.23,0,0,15
1139285,106,2444,1,Year 1,Q1,1,660.63,659.63,0,0,27
1141014,106,1247,1,Year 1,Q1,1,484.03,485.03,0,0,28
1151432,106,2631,1,Year 1,Q1,1,239.62,239.62,0,0,53
1159233,106,2139,1,Year 1,Q1,1,456.93,409.34,0,0,13
1258398,106,1207,1,Year 1,Q1,1,387.03,315.31,0,1,447
1269541,106,2306,1,Year 1,Q1,1,274.51,242.5,0,0,26
1306931,106,1216,1,Year 1,Q1,1,389.03,388.03,0,0,41
1307163,106,1885,1,Year 1,Q1,1,106.70,113.49,0,1,620
1313250,106,1062,1,Year 1,Q1,1,170.75,171.75,0,0,243
1333666,106,2126,1,Year 1,Q1,1,437.50,437.5,0,0,13
1336828,106,1971,1,Year 1,Q1,1,291.06,260.99,1,0,919
1366064,106,2826,1,Year 1,Q1,1,280.36,281.36,0,0,203
1379535,106,2304,1,Year 1,Q1,1,504.43,505.43,0,0,15
1386559,106,2707,1,Year 1,Q1,1,222.13,186.3,0,0,256
1386839,106,2867,1,Year 1,Q1,1,660.63,572.33,0,0,26
1415218,106,1778,1,Year 1,Q1,1,174.60,176.6,0,0,202
1415314,106,1878,1,Year 1,Q1,1,242.53,241.53,0,0,176
1427800,106,1902,1,Year 1,Q1,1,485.03,486.03,0,0,28
1456763,106,1543,1,Year 1,Q1,1,504.43,503.43,0,0,68
1461595,106,1248,1,Year 1,Q1,1,252.23,163.99,0,0,122
1490045,106,1558,1,Year 1,Q1,1,611.13,581.03,1,1,121
1492753,106,1727,1,Year 1,Q1,1,404.55,403.55,0,0,323
1003835,108,2306,1,Year 1,Q1,1,340.53,243.5,0,0,393
1005862,108,1311,1,Year 1,Q1,1,171.75,170.75,0,0,406
1009732,108,1248,1,Year 1,Q1,1,251.23,252.23,0,0,42
1015488,108,2539,1,Year 1,Q1,1,133.86,134.86,0,0,204
1059884,108,1247,1,Year 1,Q1,1,447.23,387.03,0,0,41
1070573,108,1558,1,Year 1,Q1,1,612.13,582.03,1,0,96
1074909,108,1902,1,Year 1,Q1,1,401.58,402.58,0,0,54
1083740,108,1993,1,Year 1,Q1,1,155.26,134.83,0,0,852
1130250,108,1803,1,Year 1,Q1,1,162.05,162.05,0,0,243
1134829,108,2707,1,Year 1,Q1,1,191.09,192.09,0,0,1080
1149144,108,1438,1,Year 1,Q1,1,272.63,242.5,0,0,67
1151467,108,2322,1,Year 1,Q1,1,378.30,323.04,0,1,472
1157490,108,2704,1,Year 1,Q1,1,281.33,244.5,0,1,406
1164151,108,1727,1,Year 1,Q1,1,445.23,447.23,0,0,986
1165652,108,2826,1,Year 1,Q1,1,329.83,330.83,0,0,460
1201306,108,1778,1,Year 1,Q1,1,185.33,183.33,0,0,351
1204236,108,2577,1,Year 1,Q1,1,282.33,282.33,0,0,216
1210933,108,2492,1,Year 1,Q1,1,389.03,388.03,0,0,80
1230879,108,1770,1,Year 1,Q1,1,484.03,338.53,0,0,53
1232557,108,2760,1,Year 1,Q1,1,242.53,241.53,0,0,189
1248499,108,2494,1,Year 1,Q1,1,271.63,243.5,0,0,28
1254419,108,2139,1,Year 1,Q1,1,436.53,340.5,0,0,94
1284603,108,1754,1,Year 1,Q1,1,280.39,280.39,0,0,647
1289288,108,1445,1,Year 1,Q1,1,627.62,628.62,0,0,53
1308146,108,1971,1,Year 1,Q1,1,323.04,258.99,1,0,566
1314263,108,1109,1,Year 1,Q1,1,248.35,236.68,1,0,1485
1352786,108,2640,1,Year 1,Q1,1,282.33,282.33,0,0,297
1368470,108,1847,1,Year 1,Q1,1,271.63,242.5,0,0,41
1368667,108,1230,1,Year 1,Q1,1,379.30,322.07,0,1,406
1368822,108,1885,1,Year 1,Q1,1,133.86,133.86,0,0,1068
1404145,108,2290,1,Year 1,Q1,1,276.45,277.45,0,0,877
1405607,108,2126,1,Year 1,Q1,1,486.00,485,0,0,28
1406231,108,1525,1,Year 1,Q1,1,282.33,244.5,0,0,647
1416669,108,1878,1,Year 1,Q1,1,280.33,280.33,0,0,149
1418333,108,2581,1,Year 1,Q1,1,610.13,583.03,1,1,311
1424610,108,1198,1,Year 1,Q1,1,196.97,162.05,0,0,217
1426320,108,2304,1,Year 1,Q1,1,484.03,485.03,0,0,163
1440201,108,1543,1,Year 1,Q1,1,485.03,485.03,0,0,53
1470145,108,1062,1,Year 1,Q1,1,183.39,182.39,0,0,458
1471573,108,1962,1,Year 1,Q1,1,615.95,582,1,1,688
1477682,108,2631,1,Year 1,Q1,1,251.23,253.23,0,0,108
1483642,108,1207,1,Year 1,Q1,1,368.60,307.55,0,0,121
1008177,109,1525,1,Year 1,Q1,1,282.33,242.5,0,0,217
1012603,109,2126,1,Year 1,Q1,1,485.00,486,0,0,80
1012912,109,2707,1,Year 1,Q1,1,160.11,191.12,0,1,757
1025222,109,1207,1,Year 1,Q1,1,384.18,324.04,0,1,473
1029867,109,1803,1,Year 1,Q1,1,219.22,161.05,0,0,190
1040582,109,1230,1,Year 1,Q1,1,390.00,325.98,0,1,405
1041457,109,2139,1,Year 1,Q1,1,435.53,341.5,0,0,54
1042464,109,1754,1,Year 1,Q1,1,291.03,292.03,0,0,393
1070699,109,1445,1,Year 1,Q1,1,628.62,627.62,0,0,67
1080614,109,1216,1,Year 1,Q1,1,455.93,455.93,0,0,40
1085026,109,1198,1,Year 1,Q1,1,179.45,180.45,0,0,203
1086450,109,1311,1,Year 1,Q1,1,155.23,154.23,0,0,366
1087222,109,1062,1,Year 1,Q1,1,182.36,183.36,0,0,393
1097119,109,1962,1,Year 1,Q1,1,612.13,582.03,1,1,378
1097585,109,1558,1,Year 1,Q1,1,611.13,581.03,1,1,149
1108848,109,2539,1,Year 1,Q1,1,135.86,134.86,0,0,177
1109409,109,2290,1,Year 1,Q1,1,285.24,283.24,0,0,487
1124740,109,2492,1,Year 1,Q1,1,388.03,388.03,0,0,69
1132953,109,1248,1,Year 1,Q1,1,252.23,251.23,0,0,55
1143940,109,2322,1,Year 1,Q1,1,381.21,323.04,0,1,782
1149390,109,2577,1,Year 1,Q1,1,280.33,281.33,0,0,55
1196787,109,1770,1,Year 1,Q1,1,485.03,338.53,0,0,69
1217942,109,2631,1,Year 1,Q1,1,242.50,243.5,0,0,82
1222288,109,2494,1,Year 1,Q1,1,270.63,272.63,0,0,15
1235068,109,2760,1,Year 1,Q1,1,243.53,243.53,0,0,95
1253948,109,2306,1,Year 1,Q1,1,340.53,243.5,0,0,150
1279742,109,2826,1,Year 1,Q1,1,330.83,329.83,0,0,433
1287929,109,2304,1,Year 1,Q1,1,484.03,486.03,0,0,67
1295826,109,1109,1,Year 1,Q1,1,289.12,231.83,1,0,1525
1298080,109,2704,1,Year 1,Q1,1,282.33,242.5,0,0,231
1306799,109,1971,1,Year 1,Q1,1,324.04,258.99,1,0,404
1320770,109,1543,1,Year 1,Q1,1,486.03,484.03,0,0,81
1340297,109,1727,1,Year 1,Q1,1,392.85,393.85,0,0,231
1355290,109,2581,1,Year 1,Q1,1,610.13,582.03,1,1,285
1371123,109,1902,1,Year 1,Q1,1,447.23,387.03,0,0,14
1382179,109,1847,1,Year 1,Q1,1,272.63,244.5,0,0,15
1450474,109,1993,1,Year 1,Q1,1,135.86,133.86,0,0,958
1454329,109,1878,1,Year 1,Q1,1,282.33,280.33,0,0,123
1457581,109,1778,1,Year 1,Q1,1,182.39,183.39,0,0,231
1471818,109,2640,1,Year 1,Q1,1,282.33,280.33,0,0,216
1472084,109,1885,1,Year 1,Q1,1,134.86,134.86,0,0,890
1032988,11,1803,1,Year 1,Q1,1,179.45,179.45,0,0,769
1039023,11,1230,1,Year 1,Q1,1,380.30,325.98,0,0,391
1039383,11,2306,1,Year 1,Q1,1,338.53,243.5,0,0,258
1053516,11,1778,1,Year 1,Q1,1,181.39,183.39,0,0,620
1057835,11,1062,1,Year 1,Q1,1,182.36,184.36,0,0,798
1059758,11,2581,1,Year 1,Q1,1,612.13,582,1,1,459
1090602,11,1962,1,Year 1,Q1,1,624.71,586.91,1,0,540
1093939,11,1993,1,Year 1,Q1,1,133.89,133.89,0,0,1052
1094881,11,1198,1,Year 1,Q1,1,219.25,166.9,0,0,391
1099886,11,2304,1,Year 1,Q1,1,485.03,484.03,0,0,150
1102584,11,1525,1,Year 1,Q1,1,282.33,242.5,0,1,460
1103215,11,1885,1,Year 1,Q1,1,136.83,136.83,0,0,959
1114533,11,2577,1,Year 1,Q1,1,281.33,281.33,0,0,202
1120771,11,2539,1,Year 1,Q1,1,135.86,133.86,0,0,379
1136817,11,2631,1,Year 1,Q1,1,251.23,251.23,0,0,80
1147589,11,2704,1,Year 1,Q1,1,280.33,243.5,0,1,270
1157042,11,1754,1,Year 1,Q1,1,275.54,273.54,0,0,729
1188075,11,2492,1,Year 1,Q1,1,387.03,387.03,0,0,26
1192269,11,2640,1,Year 1,Q1,1,282.33,280.33,0,0,271
1199821,11,2826,1,Year 1,Q1,1,338.53,338.53,0,0,458
1200664,11,1971,1,Year 1,Q1,1,327.86,259.99,1,0,528
1215256,11,1558,1,Year 1,Q1,1,612.13,583.03,1,0,80
1225075,11,1438,1,Year 1,Q1,1,272.63,242.5,0,0,55
1236933,11,1445,1,Year 1,Q1,1,627.62,628.62,0,1,81
1250484,11,1543,1,Year 1,Q1,1,486.03,486.03,0,0,107
1264861,11,1770,1,Year 1,Q1,1,484.03,338.53,0,0,41
1277077,11,1207,1,Year 1,Q1,1,353.08,315.25,0,1,446
1283261,11,2867,1,Year 1,Q1,1,628.62,626.62,0,0,81
1297860,11,1847,1,Year 1,Q1,1,258.05,258.05,0,0,28
1305533,11,1727,1,Year 1,Q1,1,403.52,364.78,0,0,879
1309667,11,2707,1,Year 1,Q1,1,192.12,190.12,0,0,1594
1351149,11,1878,1,Year 1,Q1,1,282.33,281.33,0,0,68
1380543,11,1902,1,Year 1,Q1,1,447.23,387.03,0,0,54
1381214,11,1247,1,Year 1,Q1,1,447.23,387.03,0,0,40
1425970,11,1248,1,Year 1,Q1,1,253.23,253.23,0,0,27
1426280,11,1109,1,Year 1,Q1,1,262.90,237.68,1,0,1984
1429620,11,1311,1,Year 1,Q1,1,160.05,160.05,0,0,783
1435407,11,1216,1,Year 1,Q1,1,456.93,456.93,0,1,13
1439461,11,2760,1,Year 1,Q1,1,242.53,243.53,0,0,215
1472938,11,2139,1,Year 1,Q1,1,436.53,339.5,0,0,54
1474933,11,2290,1,Year 1,Q1,1,293.97,292.97,0,0,703
1483315,11,2322,1,Year 1,Q1,1,383.21,324.04,0,0,513
1004986,110,2304,1,Year 1,Q1,1,505.43,505.43,0,0,53
1014571,110,2577,1,Year 1,Q1,1,241.53,241.53,0,0,40
1017088,110,2126,1,Year 1,Q1,1,444.26,446.26,0,0,81
1032714,110,2290,1,Year 1,Q1,1,297.82,298.82,0,0,649
1039082,110,2631,1,Year 1,Q1,1,251.23,252.23,0,0,15
1044508,110,2539,1,Year 1,Q1,1,119.37,118.37,0,0,447
1051116,110,1248,1,Year 1,Q1,1,247.41,210.55,0,0,54
1093694,110,2826,1,Year 1,Q1,1,328.86,329.86,0,0,162
1121060,110,1525,1,Year 1,Q1,1,281.33,243.5,0,0,14
1130176,110,2760,1,Year 1,Q1,1,231.83,233.83,0,0,53
1135777,110,2581,1,Year 1,Q1,1,612.07,583.03,1,1,230
1142835,110,1902,1,Year 1,Q1,1,485.03,485.03,0,0,55
1146646,110,1062,1,Year 1,Q1,1,168.81,167.81,0,0,460
1165832,110,1754,1,Year 1,Q1,1,290.03,292.03,0,0,393
1204842,110,1543,1,Year 1,Q1,1,503.43,503.43,0,0,82
1205653,110,1885,1,Year 1,Q1,1,119.34,119.34,0,1,717
1209867,110,1207,1,Year 1,Q1,1,321.10,320.1,0,0,257
1215580,110,2707,1,Year 1,Q1,1,227.95,189.21,0,0,487
1222379,110,1778,1,Year 1,Q1,1,172.66,173.66,0,0,202
1267807,110,2704,1,Year 1,Q1,1,280.33,253.2,0,0,54
1275263,110,1109,1,Year 1,Q1,1,280.36,281.36,0,0,419
1283939,110,1247,1,Year 1,Q1,1,486.03,484.03,0,0,15
1293661,110,1558,1,Year 1,Q1,1,610.13,583.03,1,1,230
1297929,110,2322,1,Year 1,Q1,1,315.25,316.25,0,0,378
1308967,110,2492,1,Year 1,Q1,1,447.23,447.23,0,0,54
1329213,110,1727,1,Year 1,Q1,1,426.83,425.83,0,0,352
1342461,110,1445,1,Year 1,Q1,1,659.63,660.63,0,0,69
1345397,110,1993,1,Year 1,Q1,1,119.34,120.31,0,1,998
1359443,110,1216,1,Year 1,Q1,1,466.63,387.03,0,0,94
1367003,110,1230,1,Year 1,Q1,1,317.19,317.19,0,0,432
1381312,110,2640,1,Year 1,Q1,1,241.53,242.53,0,0,242
1399430,110,2306,1,Year 1,Q1,1,314.28,243.5,0,1,69
1442851,110,1971,1,Year 1,Q1,1,292.03,259.99,1,0,717
1455103,110,1962,1,Year 1,Q1,1,611.13,583.03,1,1,323
1495287,110,1878,1,Year 1,Q1,1,241.53,243.53,0,0,135
1019515,113,1727,1,Year 1,Q1,1,425.83,427.83,0,0,258
1035188,113,2760,1,Year 1,Q1,1,233.83,232.83,0,0,14
1038389,113,1109,1,Year 1,Q1,1,309.43,311.43,0,0,325
1038673,113,1754,1,Year 1,Q1,1,279.36,281.36,0,0,717
1082126,113,1885,1,Year 1,Q1,1,114.46,116.46,0,0,148
1124748,113,2640,1,Year 1,Q1,1,243.53,241.53,0,0,80
1203879,113,1525,1,Year 1,Q1,1,282.33,244.5,0,0,14
1213596,113,1543,1,Year 1,Q1,1,504.43,505.43,0,0,42
1221327,113,2126,1,Year 1,Q1,1,438.50,436.5,0,0,67
1228157,113,1971,1,Year 1,Q1,1,292.03,259.99,1,0,1216
1235654,113,2704,1,Year 1,Q1,1,280.33,242.5,0,0,121
1241043,113,1248,1,Year 1,Q1,1,243.50,216.34,0,0,68
1289755,113,2539,1,Year 1,Q1,1,116.46,114.46,0,0,175
1295951,113,2306,1,Year 1,Q1,1,306.52,244.5,0,0,14
1300409,113,1558,1,Year 1,Q1,1,612.13,582.03,1,0,283
1304432,113,2139,1,Year 1,Q1,1,368.63,368.63,0,0,27
1314309,113,1062,1,Year 1,Q1,1,170.78,170.78,0,0,635
1316469,113,1230,1,Year 1,Q1,1,319.13,324.04,1,0,311
1326734,113,1445,1,Year 1,Q1,1,659.63,658.63,0,0,42
1342984,113,2581,1,Year 1,Q1,1,610.13,582.03,1,0,123
1347791,113,1216,1,Year 1,Q1,1,396.76,397.76,0,0,94
1353882,113,1878,1,Year 1,Q1,1,241.53,243.53,0,0,42
1361663,113,1993,1,Year 1,Q1,1,117.37,118.37,0,0,351
1367914,113,2304,1,Year 1,Q1,1,503.43,503.43,0,0,42
1397830,113,1962,1,Year 1,Q1,1,613.10,584.94,1,0,190
1409554,113,1207,1,Year 1,Q1,1,309.46,321.1,1,0,339
1409622,113,2444,1,Year 1,Q1,1,660.63,658.63,0,0,14
1417026,113,2631,1,Year 1,Q1,1,236.71,207.61,0,0,53
1421376,113,1778,1,Year 1,Q1,1,166.90,165.9,0,0,337
